season,regime,constraint_satisfied,avg_cv,avg_ci_width,n_weeks,n_withdrew
1,rank,1.0,0.08486543127231887,0.042017504851062586,6,0
2,rank,1.0,0.14465808322250978,0.05666468949864743,8,0
3,percent,1.0,0.005404717430522696,0.0021361484484874425,10,1
4,percent,1.0,0.016558389676834463,0.002348037798994,10,0
5,percent,1.0,0.005663674275543398,0.002071057610910573,10,0
6,percent,1.0,0.006186699333576677,0.0021551876770543334,10,0
7,percent,1.0,0.006321337709626623,0.0020585421317983925,10,1
8,percent,1.0,0.019498699511739243,0.0018156928975113767,11,0
9,percent,1.0,0.005558367693164621,0.001447799249692052,10,1
10,percent,1.0,0.009347340808014292,0.0023865009983758327,10,0
11,percent,1.0,0.008557504410556827,0.0022736272423892956,10,0
12,percent,1.0,0.011209671372064698,0.0022346926782299582,10,0
13,percent,1.0,0.006116671513146083,0.0021817002483002605,10,0
14,percent,1.0,0.004285823944590286,0.0015341806421826432,10,0
15,percent,1.0,0.0036761099321312948,0.0011811424253281133,10,0
16,percent,1.0,0.0094153354076952,0.001577675870722976,10,1
17,percent,1.0,0.007723851409407977,0.0015817136183715753,11,0
18,percent,1.0,0.0033319264348901077,0.0010884193180379005,10,1
19,percent,1.0,0.0038848928930963473,0.001208821094383171,11,0
20,percent,1.0,0.00397012764578173,0.001317316812587174,10,0
21,percent,1.0,0.006806502046996227,0.0012242106190270391,11,2
22,percent,1.0,0.003765485004197766,0.001325464096627992,10,0
23,percent,1.0,0.0037233354383523756,0.0012105432697306017,11,0
24,percent,1.0,0.003710042709439653,0.0013460601606505476,10,0
25,percent,1.0,0.004421835046413295,0.0013866580459262249,10,0
26,percent,1.0,0.006985380043918358,0.0025764320868422903,4,0
27,percent,1.0,0.0046622150965545525,0.001433168594789618,9,0
28,bottom2,1.0,0.4892564106277517,0.12932186892353145,11,1
29,bottom2,1.0,0.42968572893595897,0.08267029992589404,11,1
30,bottom2,1.0,0.4567182742063236,0.10048536581608034,10,0
31,bottom2,1.0,0.43614895560504613,0.08469777761909993,10,1
32,bottom2,1.0,0.5833503389338305,0.1178531704123632,11,0
33,bottom2,1.0,0.5361700369975413,0.11963803295202347,9,0
34,bottom2,1.0,0.5942324763717638,0.11062511752923022,11,0
