season,regime,ci_low,ci_high,ci_width,cv
1,rank,0.18115076635061425,0.28654305643851113,0.1053922900878968,0.1707220514322076
2,rank,0.11809469796717306,0.19409746104415299,0.07600276307697988,0.20115896019287643
3,percent,0.15359465133192446,0.15917217000248243,0.005577518670557908,0.014381785448351324
4,percent,0.13250358395144066,0.137738709553319,0.005235125601878263,0.014580995598386746
5,percent,0.13127751205102917,0.13558290619434865,0.004305394143319458,0.011603713215371318
6,percent,0.12878743699089396,0.13476145207417903,0.00597401508328501,0.017399702455075116
7,percent,0.13083053780645956,0.13591888353918471,0.005088345732725081,0.014596754019511937
8,percent,0.11825555621573705,0.12348533641371283,0.005229780197975752,0.017125613878649384
9,percent,0.1062991528033416,0.11125043628427425,0.004951283480932614,0.017074777677523002
10,percent,0.13232129553005842,0.13796423320653206,0.005642937676473583,0.015994174021819286
11,percent,0.13081403562086236,0.13590749636066632,0.005093460739803921,0.01402808170974761
12,percent,0.1325667515902151,0.13759345435518675,0.005026702764971589,0.013887845341792668
13,percent,0.1303201124892134,0.13632406181096993,0.006003949321756467,0.016829639829145388
14,percent,0.1193217834807738,0.12445354985731293,0.0051317663765390814,0.014800995283487363
15,percent,0.11740688207493685,0.1236690256020904,0.006262143527153505,0.01795689387449221
16,percent,0.11689070922384943,0.12133327057339109,0.004442561349541609,0.013838647362302104
17,percent,0.11733597152592046,0.12210172064684043,0.004765749120919932,0.01420433115371317
18,percent,0.12301898650632367,0.12698451861441548,0.003965532108091775,0.011368672605802089
19,percent,0.11520700120995156,0.11885510300998772,0.0036481018000361254,0.01120526275925815
20,percent,0.11984423019982678,0.1238105116974865,0.003966281497659655,0.011541534581006338
21,percent,0.11633572237342388,0.12050088006608126,0.0041651576926573204,0.01381173112844338
22,percent,0.11528348665096011,0.12016224648576267,0.0048787598348025134,0.014535852161882605
23,percent,0.11155715376660173,0.11534200585561781,0.0037848520890160146,0.011903307176562171
24,percent,0.12139274331696592,0.12552563618404652,0.004132892867080559,0.011841696181511133
25,percent,0.10884110517000709,0.11328192032384886,0.004440815153841717,0.014341344263940469
26,percent,0.14476463247823212,0.15110361423603885,0.0063389817578066625,0.01610854323306379
27,percent,0.1070938398731076,0.11239440294149237,0.0053005630683847236,0.01723171081723799
28,bottom2,0.07155525761713913,0.1705444769503079,0.09898921933316872,0.3131415254543341
29,bottom2,0.04173013216076064,0.16636743977431062,0.12463730761354994,0.49332045827029164
30,bottom2,0.041975221695358805,0.16567080591532019,0.12369558421996134,0.5201355858665058
31,bottom2,0.04980240745026402,0.16046223454767497,0.11065982709741091,0.5020804632695244
32,bottom2,0.0598365103461716,0.18904609651765975,0.1292095861714881,0.4764587696844444
33,bottom2,0.06256462758165382,0.18467090556324553,0.12210627798159167,0.4097847252935018
34,bottom2,0.04849998200836436,0.1677160677123736,0.11921608570400918,0.4314905000976466
