week,ci_low,ci_high,ci_width,cv
1,0.06811363394793596,0.09644554880504247,0.028331914857106462,0.14193493906386925
2,0.07043517721902716,0.10094943523215268,0.030514258013125458,0.1461449234313908
3,0.0801610638830057,0.11305983240635516,0.03289876852334942,0.14428425723274474
4,0.08900401201442124,0.12435700002290136,0.03535298800848008,0.1438030479398795
5,0.09884231650702271,0.13586827261982382,0.037025956112801066,0.14027615371648883
6,0.10979988802532581,0.14830846213554974,0.03850857411022391,0.12401726439243105
7,0.12370429233406402,0.16244644902901526,0.03874215669495121,0.11431683114170102
8,0.14958829530804033,0.19040233230944506,0.040814037001404686,0.10012953743062072
9,0.18493022850975577,0.2277704859781138,0.042840257468358005,0.08894047558599309
10,0.2443004852528219,0.2900396885138632,0.045739203261041236,0.07731228619356138
11,0.20205443117984087,0.28746556513681204,0.08541113395697109,0.13482539307497196
